Zone_MSOA_,Zone_Id,SUM_Emp_Pe
1059,501,102.84
1059,502,166.65
1059,504,135.34
1059,505,56.07
1059,506,135.98
1059,509,20.22
1059,511,67.7
1057,512,147.46
1059,512,291.22
1057,513,173.69
1059,514,613.91
1059,515,262.05
1059,516,90.4
1057,519,156.91
1057,520,356.28
1057,521,494.83
1059,523,147.51
1059,525,129.8
1059,526,419.64
1059,527,78.3
1059,528,114.12
1055,531,321.68
1055,532,394.74
1055,533,157.51
1055,534,165.91
1055,535,164.4
1055,536,531.07
1055,537,410.1
1055,538,121.71
1054,539,1187.64
1054,540,454.63
1054,541,1342.8
1054,542,556.43
1054,543,297.92
1057,544,125.75
1058,545,436.79
1057,545,607.75
1058,546,246.19
1058,5119,1779.29
1057,548,981.39
1059,551,219.56
1059,562,283.76
1059,566,153.75
1059,567,157.1
1059,570,196.07
1057,571,169.96
1058,572,361.54
1059,601,43.92
1059,603,19.86
1059,604,4.54
1059,605,7.79
1062,606,48.33
1055,607,117.69
1055,608,18.12
5,5002,42737.52
5,5004,1436.23
1064,5038,905.31
1064,5006,1430.33
5,5007,9762.33
5,5008,2109.4
5,5009,5039.69
1065,5010,3885.15
1064,5010,3.98
1049,5011,1687.63
1056,5012,2096.57
1052,5013,1739.25
1051,5014,1594.7
5,5022,11153.79
1063,5110,190.94
5,5024,1027.3
1064,5138,691.02
1060,5140,129.9
1060,5027,363.88
5,5028,10062.43
1064,5029,689.75
5,5030,2731.35
1067,5031,3672.87
1050,5032,960.98
1062,5034,75.81
1050,5103,1942.27
1053,5036,86.6
1053,5037,1161.75
1053,5039,152.28
1053,5040,482.65
1053,5041,460.21
1053,5042,456.24
1053,5043,354.93
4,5045,2948.93
4,5046,1771.16
4,5053,2007.62
4,5056,33546.8
1062,5065,235.02
1062,5067,108
1059,5067,13.32
1061,5033,1066.74
1056,5021,950.37
3,9004,2316221.67
5,5018,86134.58
5,5068,54519.63
9,5016,20488.63
4,5100,53530.41
5,5069,85296.46
4,5052,336852.02
4,5049,362966.42
4,5050,112701.92
2,5047,2.33
4,5047,361123.25
4,5048,106875.27
4,5054,312349.29
4,5051,127868.99
5,5017,284037.23
1076,5120,2729.16
1075,5120,2768.18
1069,5120,2237.26
1071,5120,1877.29
1078,5120,3380.65
1,5015,798576.53
6,5015,2.27
1,5001,543653.93
1012,5019,3053.03
1082,5003,5139.61
1086,5003,4605.47
1085,5003,3938.03
1084,5003,5573.5
1083,5003,4570.86
1090,5003,2316.27
1089,5003,4451.62
1088,5003,4455.42
1087,5003,4619.71
1093,5003,3954.91
1092,5003,3706.02
1091,5003,4930.76
1110,5003,2763.81
1111,5003,2888.11
2,9006,2435110.22
4,9006,3.09
1,9008,4061944.75
6,9008,8.84
2,9007,2436351.1
1,9009,11.1
6,9009,3786636.07
3,9003,3067384.91
3,9002,1096592.02
2,9005,1287110.93
1059,573,83.15
1059,517,44.59
1062,5026,664.83
1063,5135,219.55
1066,5137,3334.68
1061,5134,2288.92
5,5134,2.85
1063,5136,1202.92
1,5118,260961.28
1007,5129,2757.16
1002,5127,3834.76
1001,5128,3454.68
1019,5128,4149.81
1081,5124,3243.65
1080,5124,2804.37
1077,5122,5192.08
1079,5122,3477.18
1074,5122,2450.05
1070,5121,2830.46
1068,5121,2549.29
1073,5121,3055.13
1072,5121,2758.04
1038,5020,3581.83
1037,5020,3457.04
1036,5020,3725.19
1042,5020,2779.63
1041,5020,2741.44
1040,5020,2508.21
1039,5020,2252.84
1046,5020,2661.73
1045,5020,3687.32
1044,5020,3049.03
1043,5020,2990.82
1048,5020,2975.56
1047,5020,2619.77
1034,5131,2755.43
1033,5131,3656.16
1032,5131,3337
1031,5131,3805.54
1035,5131,2733.39
1026,5131,4189.37
1025,5131,3778.02
1030,5131,3199.19
1029,5131,2744.27
1101,5131,3665.36
1103,5131,2629.5
1094,5125,6069.79
1018,5125,3263.55
1022,5125,2695.41
1021,5125,3914.92
1020,5125,2528.04
1024,5125,2630.18
1023,5125,5033.37
1028,5125,2488.86
1027,5125,2586.24
1010,5132,4068.95
1009,5132,3028.27
1014,5132,3083.8
1013,5132,3042.1
1011,5132,4235.27
1098,5132,2571.65
1097,5132,2630.97
1096,5132,2640.09
1095,5132,3709.43
1100,5132,4274.42
1017,5133,3430.77
1016,5133,5729.59
1015,5133,2567.61
1033,5130,53.14
1102,5130,5065.15
1099,5130,4790.38
1106,5130,3127.84
1105,5130,3381.66
1104,5130,5396.14
1108,5130,4620.06
1107,5130,3894.75
1006,5126,3145.89
1005,5126,5162.32
1004,5126,3122.72
1003,5126,3034.95
1008,5126,2808.26
5,5139,76543.39
9,5117,4913.14
1,5117,5299.99
1062,609,64.27
1062,5141,81.87
1059,5141,15.3
1062,5143,126.13
1062,5142,551.54
1062,610,73.97
1062,5115,2133.66
8,5116,20196.3
7,5116,23752.48
1109,5116,2835.64
4,5101,29488.09
4,5102,81926.52
4,5055,132283.64
1052,5035,970.17
1051,5104,1555.38
1060,5106,945.05
1060,5105,840.46
1062,5107,261.43
1062,5025,594.27
1060,5108,614.05
1060,5109,356.2
1063,5023,1122.27
1063,5111,496.57
1062,5112,30.64
1058,547,1294.35
1059,602,147.13
1064,5005,468.38
1062,5070,32.86
1057,602,5.86
1,5002,1.26
1076,5032,1.58
3,9001,0
1059,524,0.89056
