Zone_MSOA_,Zone_Id,SUM_Pop_Pr
1059,501,439.25316
1059,502,831.97669
1059,504,898.47169
1059,505,2141.39536
1059,506,548.274
1059,509,152.4026
1059,511,441.66184
1057,512,242.46304
1059,512,275.3751
1057,513,81.54348
1059,514,252.55356
1059,515,264.29973
1059,516,1486.91637
1057,519,75.32512
1057,520,727.20556
1057,521,441.9358
1059,523,92.1798
1059,524,2.9001
1059,525,204.50133
1059,526,230.62078
1059,527,17.75215
1059,528,153.9057
1055,531,52.91276
1055,532,175.61868
1055,533,316.59086
1055,534,14.25456
1055,535,34.78196
1055,536,171.58608
1055,537,277.25716
1055,538,961.5464
1054,539,380.16177
1054,540,146.82525
1054,541,280.13352
1054,542,155.8054
1054,543,87.38485
1057,544,388.38474
1058,545,289.8741
1057,545,358.52058
1058,546,2567.38884
1058,5119,626.72617
1057,548,1570.30558
1059,551,106.91691
1059,562,98.10667
1059,566,37.516
1059,567,284.13805
1059,570,128.45224
1057,571,80.38548
1058,572,72.9103
1059,601,739.01991
1059,603,603.05432
1059,604,838.9164
1059,605,1687.4471
1062,606,98.21735
1055,607,925.88668
1055,608,227.62198
5,5002,31103.21892
5,5004,659.49495
1064,5038,488.50464
1064,5006,804.6617
5,5007,9790.20601
5,5008,1447.01387
5,5009,3648.70185
1065,5010,3204.6066
1064,5010,2.83648
1049,5011,2201.17648
1056,5012,1211.22283
1052,5013,874.85645
1051,5014,1215.75752
5,5022,7072.88763
1063,5110,212.88714
5,5024,425.42008
1064,5138,374.60944
1060,5140,191.84198
1060,5027,240.86263
5,5028,13976.38413
1064,5029,394.6518
5,5030,1183.85102
1067,5031,3078.83493
1050,5032,563.45415
1062,5034,59.03205
1050,5103,2741.97469
1053,5036,212.50894
1053,5037,356.72268
1053,5039,231.77802
1053,5040,219.86764
1053,5041,236.95832
1053,5042,25.57711
1053,5043,55.62352
4,5045,2494.75985
4,5046,2103.59255
4,5053,1142.10601
4,5056,33118.66475
1062,5065,139.60664
1062,5067,152.83813
1059,5067,44.1819
1061,5033,435.03285
1056,5021,392.83468
4,9004,1.11461
3,9004,2416863.129
5,5018,77308.57552
5,5068,94235.82269
9,5016,21832.32602
4,5100,51683.02463
5,5069,101116.707
4,5069,2.13262
4,5052,330330.2542
4,5049,318420.0672
4,5050,174122.1155
2,5047,5.06567
4,5047,316474.7294
3,5047,1.41217
4,5048,123800.9955
4,5054,301483.6392
4,5051,163334.5807
5,5017,262614.8488
1076,5120,2033.42472
1075,5120,1548.45329
1069,5120,2428.84743
1071,5120,3503.75358
1078,5120,4782.82269
1,5015,723944.6627
6,5015,3.38481
1,5001,523419.553
1012,5019,2385.36335
1082,5003,10878.39528
1086,5003,3369.70423
1085,5003,2257.82183
1084,5003,1977.82994
1083,5003,3753.22223
1090,5003,5169.38985
1089,5003,2088.78791
1088,5003,26501.23193
1087,5003,3174.41588
1093,5003,6347.87807
1092,5003,2368.7147
1091,5003,5410.10016
1028,5003,2.001
1110,5003,14327.97535
1111,5003,1691.48358
2,9006,2515611.419
4,9006,2.25752
1,9008,4062648.151
6,9008,2.91399
2,9007,2533666.085
1,9007,4.80728
1,9009,4.36874
6,9009,4489740.384
2,9003,1.34362
4,9003,1.28439
3,9003,3224678.906
3,9002,1123556.017
2,9005,1326453.999
1059,573,305.9322
1059,517,279.79666
1062,5026,332.98707
1063,5135,90.16528
1066,5137,2486.6395
1061,5134,1838.36427
1063,5136,368.5992
1,5118,261792.9913
1007,5129,3134.61986
1002,5127,2594.65988
1001,5128,2358.92754
1019,5128,4143.42764
1081,5124,3851.54087
1080,5124,2334.32588
1077,5122,4805.43588
1079,5122,2349.11905
1074,5122,1792.05312
1070,5121,3806.00557
1068,5121,2591.89197
1073,5121,2002.83938
1072,5121,1789.0379
1038,5020,2020.89064
1037,5020,1940.14403
1036,5020,1987.89578
1042,5020,5524.3812
1041,5020,5806.25128
1040,5020,5721.56358
1039,5020,1617.68337
1046,5020,4227.53182
1045,5020,3150.02563
1044,5020,1669.53499
1043,5020,3589.49881
1048,5020,1485.65824
1047,5020,1223.31739
1034,5131,4982.51093
1033,5131,4174.68874
1032,5131,1324.79287
1031,5131,1936.48828
1035,5131,1876.46219
1026,5131,1414.96119
1025,5131,2989.67698
1030,5131,4898.36644
1029,5131,1239.48741
1101,5131,2676.3526
1103,5131,2009.40945
1094,5125,3757.76933
1018,5125,3158.20061
1022,5125,1200.9956
1021,5125,2343.83495
1020,5125,1458.67691
1024,5125,1618.27156
1023,5125,2300.12377
1028,5125,2733.11697
1027,5125,3416.1261
1010,5132,3128.88362
1009,5132,2702.93457
1014,5132,2825.12783
1013,5132,2762.73106
1011,5132,4337.08307
1098,5132,1685.29161
1097,5132,2378.04348
1096,5132,1583.52144
1095,5132,10660.08319
1100,5132,5828.72641
1017,5133,4059.83141
1016,5133,3125.54729
1015,5133,4164.37261
1033,5130,72.5553
7,5130,2.32225
1102,5130,3675.43533
1099,5130,4159.01057
1106,5130,2399.76561
1105,5130,1893.85695
1104,5130,3748.04865
1108,5130,5260.63757
1107,5130,2659.81687
1006,5126,1891.86598
1005,5126,6575.16807
1004,5126,1399.14142
1003,5126,1739.46632
1008,5126,1319.90529
5,5139,74406.51416
9,5117,6958.20684
1,5117,4095.69711
1062,609,129.97215
1062,5141,89.40888
1059,5141,50.8683
1062,5143,21.36248
1062,5142,23.84226
1062,610,9.779
1062,5115,4504.71962
8,5116,20285.0134
7,5116,22201.44893
1109,5116,2462.2427
4,5101,31160.83791
4,5102,75490.12485
4,5055,131828.7368
1052,5035,825.22458
1051,5104,826.51256
1060,5106,403.00391
1060,5105,391.10743
1062,5107,453.68589
1062,5025,504.67447
1060,5108,906.06609
1060,5109,99.98372
1063,5023,459.08754
1063,5111,214.27052
1062,5112,62.1082
1058,547,361.53843
1059,602,1865.38161
1064,5005,381.82506
1062,5070,25.74495
1057,602,2.90496
9,5002,1.02949
3,9001,0
